# code	section	short	name	chapters	verses	file
GEN	old	Genesis	The First Book of Moses, called Genesis	50	1533	GEN.md
EXO	old	Exodus	The Second Book of Moses, called Exodus	40	1213	EXO.md
LEV	old	Leviticus	The Third Book of Moses, called Leviticus	27	859	LEV.md
NUM	old	Numbers	The Fourth Book of Moses, called Numbers	36	1288	NUM.md
DEU	old	Deuteronomy	The Fifth Book of Moses, called Deuteronomy	34	959	DEU.md
JOS	old	Joshua	The Book of Joshua	24	658	JOS.md
JDG	old	Judges	The Book of Judges	21	618	JDG.md
RUT	old	Ruth	The Book of Ruth	4	85	RUT.md
1SA	old	1 Samuel	The First Book of Samuel Otherwise Called the First Book of the Kings	31	810	1SA.md
2SA	old	2 Samuel	The Second Book of Samuel Otherwise Called the Second Book of the Kings	24	695	2SA.md
1KI	old	1 Kings	The First Book of the Kings	22	816	1KI.md
2KI	old	2 Kings	The Second Book of the Kings	25	719	2KI.md
1CH	old	1 Chronicles	The First Book of the Chronicles	29	942	1CH.md
2CH	old	2 Chronicles	The Second Book of the Chronicles	36	822	2CH.md
EZR	old	Ezra	Ezra	10	280	EZR.md
NEH	old	Nehemiah	The Book of Nehemiah	13	406	NEH.md
EST	old	Esther	The Book of Esther	10	167	EST.md
JOB	old	Job	The Book of Job	42	1070	JOB.md
PSA	old	Psalms	The Book of Psalms	150	2461	PSA.md
PRO	old	Proverbs	The Proverbs	31	915	PRO.md
ECC	old	Ecclesiastes	Ecclesiastes or, the Preacher	12	222	ECC.md
SNG	old	Song of Solomon	The Song of Solomon	8	117	SNG.md
ISA	old	Isaiah	The Book of the Prophet Isaiah	66	1292	ISA.md
JER	old	Jeremiah	The Book of the Prophet Jeremiah	52	1364	JER.md
LAM	old	Lamentations	The Lamentations of Jeremiah	5	154	LAM.md
EZK	old	Ezekiel	The Book of the Prophet Ezekiel	48	1273	EZK.md
DAN	old	Daniel	The Book of Daniel	12	357	DAN.md
HOS	old	Hosea	Hosea	14	197	HOS.md
JOL	old	Joel	Joel	3	73	JOL.md
AMO	old	Amos	Amos	9	146	AMO.md
OBA	old	Obadiah	Obadiah	1	21	OBA.md
JON	old	Jonah	Jonah	4	48	JON.md
MIC	old	Micah	Micah	7	105	MIC.md
NAM	old	Nahum	Nahum	3	47	NAM.md
HAB	old	Habakkuk	Habakkuk	3	56	HAB.md
ZEP	old	Zephaniah	Zephaniah	3	53	ZEP.md
HAG	old	Haggai	Haggai	2	38	HAG.md
ZEC	old	Zechariah	Zechariah	14	211	ZEC.md
MAL	old	Malachi	Malachi	4	55	MAL.md
TOB	apocrypha	Tobit	The Book of Tobit	14	244	TOB.md
JDT	apocrypha	Judith	The Book of Judith	16	339	JDT.md
ESG	apocrypha	Esther (Greek)	The Rest of the Chapters of the Book of Esther	7	105	ESG.md
WIS	apocrypha	Wisdom	The Book of Wisdom or The Wisdom of Solomon	19	436	WIS.md
SIR	apocrypha	Sirach	The Wisdom of Jesus the Son of Sirach, or Ecclesiasticus	51	1393	SIR.md
BAR	apocrypha	Baruch	The Book of Baruch	6	213	BAR.md
S3Y	apocrypha	Azariah	The Prayer of Azariah	1	68	S3Y.md
SUS	apocrypha	Susanna	The History of Susanna [in Daniel]	1	64	SUS.md
BEL	apocrypha	Bel	The Book of Bel and the Dragon [in Daniel]	1	42	BEL.md
1MA	apocrypha	1 Maccabees	The First Book of the Maccabees	16	924	1MA.md
2MA	apocrypha	2 Maccabees	The Second Book of the Maccabees	15	555	2MA.md
1ES	apocrypha	1 Esdras	The First Book of Esdras	9	448	1ES.md
MAN	apocrypha	Manasseh	The Prayer of Manasseh, or, The Prayer of Manasses King of Judah	1	15	MAN.md
2ES	apocrypha	2 Esdras	The Second Book of Esdras	16	874	2ES.md
MAT	new	Matthew	THE GOSPEL ACCORDING TO ST. MATTHEW	28	1071	MAT.md
MRK	new	Mark	THE GOSPEL ACCORDING TO ST. MARK	16	678	MRK.md
LUK	new	Luke	THE GOSPEL ACCORDING TO ST. LUKE	24	1151	LUK.md
JHN	new	John	THE GOSPEL ACCORDING TO ST. JOHN	21	879	JHN.md
ACT	new	Acts	THE ACTS OF THE APOSTLES	28	1007	ACT.md
